"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          98,      -5.488474192,      -1.857710644,      -3.122314807,    -0.05110695476,      -7.628775869
          0,           0,          99,      -5.499645885,      -1.861137151,       -3.13656922,     -0.0624183187,      -7.627968877
          0,           0,         100,      -5.505203349,      -1.864561733,      -3.146841088,    -0.06795310662,      -7.626812696
          0,           0,         101,      -5.511760397,      -1.867959548,      -3.160929739,    -0.07473476515,      -7.625356374
          0,           0,         102,       -5.51750451,      -1.871318271,      -3.175966537,    -0.08056167891,      -7.623775409
          0,           0,         103,       -5.52233985,      -1.874641553,      -3.191384779,    -0.08549148442,      -7.622215519
          0,           0,         104,      -5.526799172,      -1.877933619,      -3.207703742,    -0.09009050566,       -7.62074759
          0,           0,         105,      -5.531231166,       -1.88119683,      -3.225263681,    -0.09471965625,      -7.619376657
          0,           0,         106,       -5.53583329,      -1.884432713,      -3.244089324,    -0.09960891805,      -7.618084522
          0,           0,         107,      -5.540747192,      -1.887642451,      -3.263986783,     -0.1048986578,      -7.616841816
          0,           0,         108,      -5.546045825,      -1.890826885,      -3.284566691,     -0.1106341231,      -7.599864853
          0,           0,         109,      -5.500519375,      -1.897082292,        -3.2309305,    -0.05517684685,      -7.613525417
          0,           0,         110,      -5.563043282,      -1.900280586,      -3.325685481,     -0.1289637429,      -7.596991811
          0,           0,         111,      -5.523308272,       -1.90632937,      -3.280105657,     -0.0791325997,      -7.610028981
          0,           0,         112,       -5.57779744,      -1.909433757,      -3.360586597,     -0.1439784209,      -7.592242705
          0,           0,         113,       -5.54278619,      -1.915351207,      -3.310886474,    -0.09903585123,      -7.604820838
          0,           0,         114,      -5.592335953,      -1.918374461,      -3.387174113,     -0.1585047605,      -7.585936564
          0,           0,         115,      -5.558531371,      -1.924160216,      -3.329803813,     -0.1147407992,      -7.598347338
          0,           0,         116,      -5.605947842,       -1.92710861,      -3.408451857,     -0.1720025344,      -7.580448752
          0,           0,         117,      -5.570404457,      -1.932758995,      -3.344137229,     -0.1263313045,      -7.592224335
          0,           0,         118,      -5.618103709,      -1.935639576,      -3.428984568,     -0.1838911838,      -7.575423503
          0,           0,         119,      -5.580365417,      -1.941152063,      -3.364073524,     -0.1360955193,      -7.586410485
          0,           0,         120,      -5.628916426,      -1.943970791,      -3.453920377,     -0.1944122218,      -7.570398753
          0,           0,         121,      -5.590696899,      -1.949348086,      -3.395449598,     -0.1465316701,      -7.580651024
          0,           0,         122,      -5.638956859,      -1.952108182,       -3.48536714,     -0.2042317934,      -7.564544826
          0,           0,         123,      -5.602452404,      -1.957356579,       -3.43747984,     -0.1586461399,      -7.574258686
          0,           0,         124,      -5.648767872,      -1.960058232,      -3.521458538,     -0.2138895892,      -7.556278822
          0,           0,         125,      -5.615093131,      -1.965185133,      -3.482425808,     -0.1716873366,      -7.565794776
          0,           0,         126,      -5.658549214,      -1.967826909,      -3.557460111,      -0.223494192,      -7.547521803
          0,           0,         127,      -5.627519451,      -1.972836999,      -3.520614475,     -0.1843149047,      -7.556711289
          0,           0,         128,      -5.668193827,      -1.975418506,      -3.588202571,     -0.2328415309,      -7.539738127
          0,           0,         129,      -5.638625767,      -1.980314428,      -3.546537192,     -0.1953279405,      -7.548094551
          0,           0,         130,      -5.677486618,      -1.982837213,      -3.613112264,     -0.2417079681,      -7.532313135
          0,           0,         131,      -5.648169908,      -1.987620099,      -3.565308639,     -0.2046028843,      -7.539810249
          0,           0,         132,       -5.68630256,      -1.990086493,      -3.636987481,      -0.250044353,      -7.524888445
          0,           0,         133,      -5.656780323,      -1.994756248,      -3.587738992,     -0.2129660857,      -7.531634104
          0,           0,         134,      -5.694630016,      -1.997168062,      -3.665654424,     -0.2579206557,      -7.516661976
          0,           0,         135,      -5.665262636,      -2.001724381,      -3.621377993,     -0.2213403684,      -7.522909091
          0,           0,         136,        -5.7025199,      -2.004082345,      -3.701814682,     -0.2654192831,      -7.505560408
          0,           0,         137,       -5.67396002,      -2.008525682,      -3.666596282,     -0.2300653661,      -7.511753433
          0,           0,         138,      -5.710031721,       -2.01082943,      -3.743592721,     -0.2725771345,      -7.494070536
          0,           0,         139,      -5.682708273,      -2.015161052,      -3.716500885,     -0.2388802884,      -7.499956854
          0,           0,         140,      -5.717187848,      -2.017410008,      -3.785229365,     -0.2793691289,      -7.484052467
          0,           0,         141,      -5.691086524,      -2.021631052,      -3.760093542,     -0.2472349986,      -7.489020537
          0,           0,         142,      -5.723978975,      -2.023825411,      -3.820139153,     -0.2857633249,      -7.474582868
          0,           0,         143,      -5.698704579,      -2.027935697,      -3.789826179,      -0.254707867,      -7.478694369
          0,           0,         144,      -5.730398185,       -2.03007543,      -3.846864795,     -0.2917506106,      -7.465266262
          0,           0,         145,      -5.705526929,      -2.034073092,      -3.809862548,     -0.2613067642,      -7.468702736
          0,           0,         146,      -5.736442651,      -2.036157796,       -3.87001972,     -0.2973455548,      -7.455151389
          0,           0,         147,      -5.711805878,      -2.040039932,      -3.831012577,     -0.2673543664,      -7.458196061
          0,           0,         148,      -5.742125838,      -2.042068737,      -3.895491443,     -0.3025835173,      -7.441089625
          0,           0,         149,      -5.717818785,      -2.045833346,      -3.860508877,     -0.2731733545,      -7.444218632
          0,           0,         150,       -5.74746871,      -2.047805608,      -3.925818256,     -0.3074909426,      -7.427852499
          0,           0,         151,      -5.723685409,      -2.051452778,      -3.898169841,      -0.278881065,      -7.430593762
          0,           0,         152,      -5.752494621,      -2.053368343,      -3.959320525,     -0.3120780932,      -7.416684687
          0,           0,         153,      -5.729359257,      -2.056898812,      -3.937560265,     -0.2843896525,       -7.41856702
          0,           0,         154,      -5.757217944,      -2.058757357,      -3.991919318,     -0.3163451934,      -7.406150989
          0,           0,         155,      -5.734713571,      -2.062171224,      -3.970822835,     -0.2895411152,       -7.40741712
          0,           0,         156,       -5.76165586,      -2.063972283,      -4.020735475,     -0.3203104877,      -7.403780752
          0,           0,         157,      -5.764061321,      -2.065636666,      -4.044968908,     -0.3223932537,      -7.400201444
          0,           0,         158,      -5.764105015,      -2.067302124,      -4.057453313,     -0.3220710159,      -7.396642229
          0,           0,         159,      -5.765324149,      -2.068961903,      -4.068812232,      -0.323111792,      -7.392941923
          0,           0,         160,      -5.766743276,      -2.070602379,      -4.080627761,     -0.3243685345,      -7.388498753
          0,           0,         161,       -5.76806138,       -2.07222253,      -4.093933101,     -0.3255371817,      -7.382793624
          0,           0,         162,      -5.769338771,      -2.073823905,      -4.108932055,     -0.3266819518,      -7.376855079
          0,           0,         163,      -5.770618814,      -2.075407245,      -4.125439278,      -0.327839043,      -7.371505693
          0,           0,         164,      -5.771897532,      -2.076972619,       -4.14313679,     -0.3290016064,      -7.366707487
          0,           0,         165,      -5.773160513,      -2.078519954,      -4.161542489,     -0.3301527248,      -7.362287984
          0,           0,         166,      -5.774398487,      -2.080049223,      -4.180038777,     -0.3312790307,      -7.358121191
